iso_region,timestamp_utc,hour_of_day,day_of_week,is_weekend,day_of_year,temp_c,load_mw
PJM,2026-01-01T00:00:00Z,0,3,0,1,5.51,96892.6
PJM,2026-01-01T01:00:00Z,1,3,0,1,5.35,98684.1
PJM,2026-01-01T02:00:00Z,2,3,0,1,0.33,98459.9
PJM,2026-01-01T03:00:00Z,3,3,0,1,2.42,98755.8
PJM,2026-01-01T04:00:00Z,4,3,0,1,1.16,99013.0
PJM,2026-01-01T05:00:00Z,5,3,0,1,1.54,100830.1
PJM,2026-01-01T06:00:00Z,6,3,0,1,-0.51,102445.1
PJM,2026-01-01T07:00:00Z,7,3,0,1,-0.54,101133.4
PJM,2026-01-01T08:00:00Z,8,3,0,1,-1.09,101829.6
PJM,2026-01-01T09:00:00Z,9,3,0,1,-0.46,103017.2
PJM,2026-01-01T10:00:00Z,10,3,0,1,-1.92,103476.6
PJM,2026-01-01T11:00:00Z,11,3,0,1,0.59,103434.6
PJM,2026-01-01T12:00:00Z,12,3,0,1,-1.25,104237.7
PJM,2026-01-01T13:00:00Z,13,3,0,1,1.02,104207.8
PJM,2026-01-01T14:00:00Z,14,3,0,1,1.81,103971.5
PJM,2026-01-01T15:00:00Z,15,3,0,1,5.44,101646.4
PJM,2026-01-01T16:00:00Z,16,3,0,1,2.49,102087.4
PJM,2026-01-01T17:00:00Z,17,3,0,1,5.15,102511.3
PJM,2026-01-01T18:00:00Z,18,3,0,1,4.88,100237.3
PJM,2026-01-01T19:00:00Z,19,3,0,1,4.45,101254.2
PJM,2026-01-01T20:00:00Z,20,3,0,1,7.2,99524.0
PJM,2026-01-01T21:00:00Z,21,3,0,1,5.23,99416.9
PJM,2026-01-01T22:00:00Z,22,3,0,1,6.26,98505.5
PJM,2026-01-01T23:00:00Z,23,3,0,1,6.99,97819.8
PJM,2026-01-02T00:00:00Z,0,4,0,2,6.11,97913.2
PJM,2026-01-02T01:00:00Z,1,4,0,2,4.69,98835.0
PJM,2026-01-02T02:00:00Z,2,4,0,2,1.11,99293.5
PJM,2026-01-02T03:00:00Z,3,4,0,2,1.56,98972.0
PJM,2026-01-02T04:00:00Z,4,4,0,2,0.81,101572.6
PJM,2026-01-02T05:00:00Z,5,4,0,2,-1.04,102187.6
PJM,2026-01-02T06:00:00Z,6,4,0,2,-3.09,102234.7
PJM,2026-01-02T07:00:00Z,7,4,0,2,-0.96,102862.1
PJM,2026-01-02T08:00:00Z,8,4,0,2,-0.54,103480.8
PJM,2026-01-02T09:00:00Z,9,4,0,2,-2.26,103506.6
PJM,2026-01-02T10:00:00Z,10,4,0,2,-0.32,103529.1
PJM,2026-01-02T11:00:00Z,11,4,0,2,-3.12,104110.6
PJM,2026-01-02T12:00:00Z,12,4,0,2,-1.95,105506.2
PJM,2026-01-02T13:00:00Z,13,4,0,2,0.47,104920.6
PJM,2026-01-02T14:00:00Z,14,4,0,2,0.58,104373.4
PJM,2026-01-02T15:00:00Z,15,4,0,2,3.2,102784.6
PJM,2026-01-02T16:00:00Z,16,4,0,2,3.98,101861.1
PJM,2026-01-02T17:00:00Z,17,4,0,2,3.72,101816.0
PJM,2026-01-02T18:00:00Z,18,4,0,2,3.3,102296.5
PJM,2026-01-02T19:00:00Z,19,4,0,2,5.02,100627.3
PJM,2026-01-02T20:00:00Z,20,4,0,2,6.85,99763.6
PJM,2026-01-02T21:00:00Z,21,4,0,2,7.26,98525.9
PJM,2026-01-02T22:00:00Z,22,4,0,2,5.49,98711.5
PJM,2026-01-02T23:00:00Z,23,4,0,2,3.19,97872.8
PJM,2026-01-03T00:00:00Z,0,5,1,3,3.15,92523.1
PJM,2026-01-03T01:00:00Z,1,5,1,3,4.9,91792.5
PJM,2026-01-03T02:00:00Z,2,5,1,3,2.77,94697.0
PJM,2026-01-03T03:00:00Z,3,5,1,3,1.77,94695.1
PJM,2026-01-03T04:00:00Z,4,5,1,3,-0.13,94813.1
PJM,2026-01-03T05:00:00Z,5,5,1,3,-1.12,95474.1
PJM,2026-01-03T06:00:00Z,6,5,1,3,0.73,93954.2
PJM,2026-01-03T07:00:00Z,7,5,1,3,-0.51,96856.7
PJM,2026-01-03T08:00:00Z,8,5,1,3,-2.45,96577.9
PJM,2026-01-03T09:00:00Z,9,5,1,3,-1.59,97683.5
PJM,2026-01-03T10:00:00Z,10,5,1,3,-1.21,98568.6
PJM,2026-01-03T11:00:00Z,11,5,1,3,1.24,97800.2
PJM,2026-01-03T12:00:00Z,12,5,1,3,-2.06,99744.1
PJM,2026-01-03T13:00:00Z,13,5,1,3,0.63,99992.2
PJM,2026-01-03T14:00:00Z,14,5,1,3,2.52,98322.8
PJM,2026-01-03T15:00:00Z,15,5,1,3,4.5,95952.2
PJM,2026-01-03T16:00:00Z,16,5,1,3,2.38,96715.2
PJM,2026-01-03T17:00:00Z,17,5,1,3,3.72,95366.6
PJM,2026-01-03T18:00:00Z,18,5,1,3,6.08,95059.7
PJM,2026-01-03T19:00:00Z,19,5,1,3,3.56,94702.0
PJM,2026-01-03T20:00:00Z,20,5,1,3,6.64,94711.4
PJM,2026-01-03T21:00:00Z,21,5,1,3,9.3,95109.4
PJM,2026-01-03T22:00:00Z,22,5,1,3,6.79,91850.2
PJM,2026-01-03T23:00:00Z,23,5,1,3,2.57,94235.9
PJM,2026-01-04T00:00:00Z,0,6,1,4,3.95,92964.6
PJM,2026-01-04T01:00:00Z,1,6,1,4,3.43,93275.0
PJM,2026-01-04T02:00:00Z,2,6,1,4,4.98,92968.0
PJM,2026-01-04T03:00:00Z,3,6,1,4,2.11,93077.2
PJM,2026-01-04T04:00:00Z,4,6,1,4,-1.2,95148.0
PJM,2026-01-04T05:00:00Z,5,6,1,4,0.26,97144.2
PJM,2026-01-04T06:00:00Z,6,6,1,4,-0.29,97112.7
PJM,2026-01-04T07:00:00Z,7,6,1,4,-1.87,96216.7
PJM,2026-01-04T08:00:00Z,8,6,1,4,-2.97,97653.4
PJM,2026-01-04T09:00:00Z,9,6,1,4,1.54,96413.3
PJM,2026-01-04T10:00:00Z,10,6,1,4,-0.26,97524.0
PJM,2026-01-04T11:00:00Z,11,6,1,4,0.28,98954.6
PJM,2026-01-04T12:00:00Z,12,6,1,4,-0.72,99220.2
PJM,2026-01-04T13:00:00Z,13,6,1,4,-0.64,99802.6
PJM,2026-01-04T14:00:00Z,14,6,1,4,0.63,97734.1
PJM,2026-01-04T15:00:00Z,15,6,1,4,0.43,98987.2
PJM,2026-01-04T16:00:00Z,16,6,1,4,5.75,96662.0
PJM,2026-01-04T17:00:00Z,17,6,1,4,4.17,96970.7
PJM,2026-01-04T18:00:00Z,18,6,1,4,7.13,95276.1
PJM,2026-01-04T19:00:00Z,19,6,1,4,5.19,96292.9
PJM,2026-01-04T20:00:00Z,20,6,1,4,6.85,95487.8
PJM,2026-01-04T21:00:00Z,21,6,1,4,6.62,92390.9
PJM,2026-01-04T22:00:00Z,22,6,1,4,4.16,95554.0
PJM,2026-01-04T23:00:00Z,23,6,1,4,8.39,91792.6
PJM,2026-01-05T00:00:00Z,0,0,0,5,4.64,100380.6
PJM,2026-01-05T01:00:00Z,1,0,0,5,2.73,98718.8
PJM,2026-01-05T02:00:00Z,2,0,0,5,4.39,98562.8
PJM,2026-01-05T03:00:00Z,3,0,0,5,2.38,99696.2
PJM,2026-01-05T04:00:00Z,4,0,0,5,1.86,101678.0
PJM,2026-01-05T05:00:00Z,5,0,0,5,0.53,101872.0
PJM,2026-01-05T06:00:00Z,6,0,0,5,-3.51,103253.7
PJM,2026-01-05T07:00:00Z,7,0,0,5,-2.34,102258.5
PJM,2026-01-05T08:00:00Z,8,0,0,5,-2.79,103853.4
PJM,2026-01-05T09:00:00Z,9,0,0,5,-0.24,102502.7
PJM,2026-01-05T10:00:00Z,10,0,0,5,-1.43,104260.2
PJM,2026-01-05T11:00:00Z,11,0,0,5,-1.56,106137.2
PJM,2026-01-05T12:00:00Z,12,0,0,5,0.37,106011.4
PJM,2026-01-05T13:00:00Z,13,0,0,5,0.16,104310.5
PJM,2026-01-05T14:00:00Z,14,0,0,5,1.02,104875.0
